id;first_name;middle_name;last_name;position;ktp;ktp_exp_date;npwp;npwp_reg_date;passport;passport_exp_date;kitas;kitas_exp_date;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Mateo;Zimbabwe parse Customer;McDermott;capacitor program enhance;Falls;2019-12-09;Response;2019-12-08;Synergized;2019-12-08;Checking Account global Steel;2019-12-08;2019-12-08;2019-12-08T15:51:31;47621;2019-12-08;2019-12-08T08:23:35;52016
2;Eloise;connecting Planner Refined;Schiller;Connecticut Burg;transmit Credit Card Acco;2019-12-08;cyan Rubber Ind;2019-12-08;New York mesh;2019-12-08;International;2019-12-08;2019-12-08;2019-12-08T16:00:37;45091;2019-12-08;2019-12-08T06:29:41;39654
3;Elian;Switzerland CFP Franc;Schinner;Via;Buckinghamshire Business-;2019-12-08;Berkshire conce;2019-12-08;Future-proofed Awesome;2019-12-09;Rubber Shirt;2019-12-09;2019-12-08;2019-12-08T12:57:54;18006;2019-12-08;2019-12-08T11:37:48;34566
4;Hanna;RSS Buckinghamshire Officer;Mills;Automated;Pants even-keeled Chair;2019-12-09;Granite Island;2019-12-08;innovative Bedfordshire L;2019-12-09;online;2019-12-08;2019-12-08;2019-12-09T02:23:01;51165;2019-12-08;2019-12-09T00:34:42;92087
5;Gavin;Home;Stroman;Handmade Savings Account Manager;cultivate Bedfordshire;2019-12-08;back-end Roads ;2019-12-09;Customer-focused;2019-12-08;Internal Buckinghamshire Antar;2019-12-09;2019-12-08;2019-12-08T17:36:29;35414;2019-12-08;2019-12-08T18:48:51;24247
6;Belle;interface;Deckow;Kentucky;blue internet solution Co;2019-12-08;Investment Acco;2019-12-08;Berkshire Awesome;2019-12-08;Nevada quantify architectures;2019-12-09;2019-12-08;2019-12-08T21:32:07;33744;2019-12-08;2019-12-08T06:45:16;64591
7;Lenny;Grass-roots Cambridgeshire;Harber;Integration Music;Pants;2019-12-08;Pizza blue;2019-12-08;Car Internal Small;2019-12-08;infomediaries;2019-12-08;2019-12-08;2019-12-09T01:39:25;89661;2019-12-08;2019-12-08T14:31:19;96947
8;Terrance;Jewelery Engineer Bedfordshire;Reichert;programming hard drive Mexico;stable override;2019-12-08;orchestration c;2019-12-08;Metal Auto Loan Account;2019-12-08;Montana;2019-12-09;2019-12-08;2019-12-08T16:47:55;32064;2019-12-08;2019-12-08T14:05:34;5182
9;Frieda;Crest Bahamas;Lowe;orange Trinidad and Tobago Dollar Gorgeous;UAE Dirham;2019-12-08;Investment Acco;2019-12-08;users scalable;2019-12-08;calculating Administrator Froz;2019-12-08;2019-12-08;2019-12-08T05:49:33;20500;2019-12-08;2019-12-08T19:14:40;6649
10;Tierra;hard drive Refined Soft Keyboard sy;Rohan;back-end;Mouse open-source payment;2019-12-08;granular HDD wh;2019-12-08;models e-enable;2019-12-08;intranet index;2019-12-08;2019-12-08;2019-12-08T22:46:22;35536;2019-12-08;2019-12-08T18:57:01;38389
