id;bank_account_no;bank_account_name;bank_branch;status;currency_id;bank_id;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Security;SQL Taka;Cambridgeshire;R;71011;40287;2019-10-15;2019-10-16T03:33:40;21111;2019-10-16;2019-10-15T13:55:36;28100
2;virtual Marketing;transitional Garden;Streets Optimized;s;21462;35781;2019-10-16;2019-10-15T19:06:02;75961;2019-10-16;2019-10-16T06:08:24;88865
3;Cambridgeshire Locks Tennessee;Bangladesh payment;Multi-lateral program;p;11995;14287;2019-10-15;2019-10-15T16:02:24;72065;2019-10-16;2019-10-16T01:00:49;49669
4;tangible;quantifying;Gorgeous Soft Shirt artificial intelligence Electronics;a;59348;70697;2019-10-15;2019-10-16T09:08:37;58326;2019-10-15;2019-10-15T23:26:28;381
5;User-centric bypass;Security;innovative local transmitting;S;90719;89187;2019-10-15;2019-10-16T00:14:12;42238;2019-10-15;2019-10-16T01:35:34;37731
6;Technician Ergonomic Australian Dollar;Maryland Web;feed Games Ball;S;12960;95077;2019-10-15;2019-10-15T17:47:14;94398;2019-10-16;2019-10-16T04:11:35;10536
7;bluetooth invoice;Fantastic;Markets Cambridgeshire;L;63442;36870;2019-10-15;2019-10-16T01:46:22;288;2019-10-16;2019-10-15T14:02:00;76756
8;architectures;applications program reintermediate;Row THX indigo;q;93080;65163;2019-10-16;2019-10-15T16:55:19;73709;2019-10-16;2019-10-15T11:15:29;64483
9;whiteboard;Extensions Vermont Gorgeous;open-source;b;78201;51586;2019-10-15;2019-10-16T04:13:33;9986;2019-10-15;2019-10-15T18:08:07;1469
10;iterate;backing up bandwidth;web-readiness Buckinghamshire monetize;I;72485;46409;2019-10-15;2019-10-15T11:31:28;4165;2019-10-15;2019-10-16T01:06:17;67754
